Index,Postal Code,Latitude,Longitude
1,M1B,43.8066863,-79.1943534
2,M1C,43.7845351,-79.1604971
3,M1E,43.7635726,-79.1887115
4,M1G,43.7709921,-79.2169174
5,M1H,43.773136,-79.2394761
6,M1J,43.7447342,-79.2394761
7,M1K,43.7279292,-79.2620294
8,M1L,43.7111117,-79.2845772
9,M1M,43.716316,-79.2394761
10,M1N,43.692657,-79.2648481
11,M1P,43.7574096,-79.273304
12,M1R,43.7500715,-79.2958491
13,M1S,43.7942003,-79.2620294
14,M1T,43.7816375,-79.3043021
15,M1V,43.8152522,-79.2845772
16,M1W,43.7995252,-79.3183887
17,M1X,43.8361247,-79.2056361
18,M2H,43.8037622,-79.3634517
19,M2J,43.7785175,-79.3465557
20,M2K,43.7869473,-79.385975
21,M2L,43.7574902,-79.3747141
22,M2M,43.789053,-79.4084928
23,M2N,43.7701199,-79.4084928
24,M2P,43.7527583,-79.4000493
25,M2R,43.7827364,-79.4422593
26,M3A,43.7532586,-79.3296565
27,M3B,43.7459058,-79.352188
28,M3C,43.7258997,-79.340923
29,M3H,43.7543283,-79.4422593
30,M3J,43.7679803,-79.4872619
31,M3K,43.7374732,-79.4647633
32,M3L,43.7390146,-79.5069436
33,M3M,43.7284964,-79.4956974
34,M3N,43.7616313,-79.5209994
35,M4A,43.7258823,-79.3155716
36,M4B,43.7063972,-79.309937
37,M4C,43.6953439,-79.3183887
38,M4E,43.6763574,-79.2930312
39,M4G,43.7090604,-79.3634517
40,M4H,43.7053689,-79.3493719
41,M4J,43.685347,-79.3381065
42,M4K,43.6795571,-79.352188
43,M4L,43.6689985,-79.3155716
44,M4M,43.6595255,-79.340923
45,M4N,43.7280205,-79.3887901
46,M4P,43.7127511,-79.3901975
47,M4R,43.7153834,-79.4056784
48,M4S,43.7043244,-79.3887901
49,M4T,43.6895743,-79.3831599
50,M4V,43.6864123,-79.4000493
51,M4W,43.6795626,-79.3775294
52,M4X,43.667967,-79.3676753
53,M4Y,43.6658599,-79.3831599
54,M5A,43.6542599,-79.3606359
55,M5B,43.6571618,-79.3789371
56,M5C,43.6514939,-79.3754179
57,M5E,43.6447708,-79.3733064
58,M5G,43.6579524,-79.3873826
59,M5H,43.6505712,-79.3845675
60,M5J,43.6408157,-79.3817523
61,M5K,43.6471768,-79.3815764
62,M5L,43.6481985,-79.3798169
63,M5M,43.7332825,-79.4197497
64,M5N,43.7116948,-79.4169356
65,M5P,43.6969476,-79.4113072
66,M5R,43.6727097,-79.4056784
67,M5S,43.6626956,-79.4000493
68,M5T,43.6532057,-79.4000493
69,M5V,43.6289467,-79.3944199
70,M5W,43.6464352,-79.374846
71,M5X,43.6484292,-79.3822802
72,M6A,43.718518,-79.4647633
73,M6B,43.709577,-79.4450726
74,M6C,43.6937813,-79.4281914
75,M6E,43.6890256,-79.453512
76,M6G,43.669542,-79.4225637
77,M6H,43.6690051,-79.4422593
78,M6J,43.6479267,-79.4197497
79,M6K,43.6368472,-79.4281914
80,M6L,43.7137562,-79.4900738
81,M6M,43.6911158,-79.4760133
82,M6N,43.6731853,-79.4872619
83,M6P,43.6616083,-79.4647633
84,M6R,43.6489597,-79.456325
85,M6S,43.6515706,-79.4844499
86,M7A,43.6623015,-79.3894938
87,M7R,43.6369656,-79.615819
88,M7Y,43.6627439,-79.321558
89,M8V,43.6056466,-79.5013207
90,M8W,43.6024137,-79.5434841
91,M8X,43.6536536,-79.5069436
92,M8Y,43.6362579,-79.4985091
93,M8Z,43.6288408,-79.5209994
94,M9A,43.6678556,-79.5322424
95,M9B,43.6509432,-79.5547244
96,M9C,43.6435152,-79.5772008
97,M9L,43.7563033,-79.5659633
98,M9M,43.7247659,-79.5322424
99,M9N,43.706876,-79.5181884
100,M9P,43.696319,-79.5322424
101,M9R,43.6889054,-79.5547244
102,M9V,43.7394164,-79.5884369
103,M9W,43.7067483,-79.5940544
